,Wells,Date,Type,Top,Bottom
1,OG-815,1972-10-21,perforation,2426,2431
2,OG-815,1972-10-30,perforation,2431,2439
0,OG-815,1972-11-04,perforation,2258,2270
3,OG-815,1972-11-04,perforation,2369,2374
4,OG-815,1976-05-25,perforation,2352,2362
6,OG-815,1976-05-25,squeeze,2369,2374
5,OG-815,1976-05-28,perforation,2344,2348
7,OG-815,1976-05-28,squeeze,2352,2362
8,OG-815,1976-05-28,squeeze,2344,2348
9,OG-815,1976-06-02,perforation,2310,2320
10,OG-815,1998-02-21,perforation,2310,2320
12,OG-815,1998-02-22,squeeze,2258,2270
11,OG-815,1998-02-22,perforation,2292,2298
13,OG-815,2000-11-18,squeeze,2310,2320
14,OG-815,2000-11-18,squeeze,2292,2298
15,OG-815,2001-05-21,perforation,2260,2270
16,OG-815,2001-05-21,perforation,2246,2250
17,OG-815,2002-05-26,perforation,2192,2195
18,OG-815,2002-05-27,perforation,2185,2192
19,OG-815,2002-05-30,welltest-pm,2246,2250
20,OG-815,2002-05-30,welltest-pm,2260,2270
21,OG-815,2002-05-30,welltest-pm,2292,2298
22,OG-815,2002-05-30,welltest-pm,2310,2320
27,OG-815,2002-06-03,squeeze,2310,2320
26,OG-815,2002-06-03,squeeze,2292,2298
24,OG-815,2002-06-03,squeeze,2246,2250
23,OG-815,2002-06-03,perforation,2185,2189
25,OG-815,2002-06-03,squeeze,2260,2270
28,OG-815,2002-06-05,perforation,2132,2141
29,OG-815,2006-07-18,perforation,2255,2263
30,OG-815,2006-07-19,perforation,2263,2266
31,OG-815,2006-07-19,perforation,2243,2246
32,OG-815,2008-04-28,perforation,2119,2127
33,OG-815,2008-04-28,perforation,2112,2119
34,OG-815,2008-04-28,squeeze,2255,2266
35,OG-815,2008-04-28,squeeze,2243,2246
36,OG-815,2008-06-22,perforation,2100,2105
37,OG-815,2008-06-23,perforation,1992,2005
38,OG-815,2008-06-24,perforation,1986,1992
39,OG-815,2009-10-23,perforation,2037,2053
40,OG-815,2009-10-23,perforation,2018,2023
41,OG-815,2012-05-29,perforation,2243,2245
42,OG-815,2012-05-30,perforation,2183,2190
43,OG-815,2012-05-30,perforation,2132,2136
44,OG-815,2012-05-30,perforation,1995,2005
45,OG-815,2015-11-13,perforation,2189,2195
46,OG-815,2015-11-14,perforation,2180,2189
47,OG-815,2015-11-14,perforation,1995,2005
48,OG-815,2018-07-31,perforation,2100,2105
49,OG-815,2018-07-31,perforation,2000,2010
